一共,yī gòng,"en tout, au total",3
一会儿,yī huì er,"un moment, un instant ; tout à; l'heure",3
一样,yī yàng,"pareil, semblable, pareillement",3
一直,yì zhí,"tout droit ; depuis toujours, sans; interruption",3
以前,yǐ qián,"avant que, auparavant",3
音乐,yīn yuè,musique; 种,3
银行,yín háng,"banque; 个; ,; 家",3
饮料,yǐn liào,boisson,3
应该,yīng gāi,"devoir, falloir",3
影响,yǐng xiǎng,"influencer, influence, mauvaise; influence; 个",3
用,yòng,"employer, utiliser ; au moyen de,; avec",3
游戏,yóu xì,jeu; 个,3
有名,yǒu míng,"célèbre, connu",3
又,yòu,"de nouveau, encore une fois",3
遇到,yù dào,"rencontrer, tomber sur",3
元,yuán,"yuan, dollar",3
愿意,yuàn yì,"vouloir, être d’accord",3
月亮,yuè liàng,lune; 个,3
越,yuè,plus,3
站,zhàn,"se mettre debout, se tenir debout ;; arrêt (de bus, métro, train, etc.); 个",3
张,zhāng,"(pour objets plats, feuilles, tables,; lits, etc.)",3
着急,zháo jí,"s’inquiéter de, s’énerver, pressé,; avec inquiétude; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 29",3
照顾,zhào gù,"accorder des soins particuliers à,; s’occuper de (enfants, malades)",3
照片,zhào piān,photo; 张,3
照相机,zhào xiàng jī,appareil photo; 个,3
只有,zhǐ yǒu,"大纲上; 为连词）; alors seulement, seulement",3
中间,zhōng jiān,"l.; milieu, entre, au milieu de",3
中文,zhōng wén,langue chinoise,3
终于,zhōng yú,"enfin, finalement",3
种,zhǒng,"type, sorte ; une sorte de",3
重要,zhòng yào,important,3
周末,zhōu mò,week-end; 个,3
主要,zhǔ yào,"principal, essentiel, principalement",3
注意,zhù yì,faire attention à,3
自己,zì jǐ,"soi, soi-même ; propre,; appartenant à",3
自行车,zì xíng chē,"bicyclette, vélo; 辆",3
总是,zǒng shì,toujours,3
嘴,zuǐ,"bouche, bec; 张",3
最后,zuì hòu,"le dernier, final, à la fin",3
最近,zuì jìn,"ces jours-ci, récemment,; dernièrement",3
作业,zuò yè,devoirs (à domicile); 个,3
